 ¹ |Applications received|Applications denied| % |Max package size|Buffer Usage|
450|                    0|                  1|inf|               0|      0.0000|
452|                    0|                  1|inf|               0|      0.0000|
454|                    2|                  3|150|               0|      0.0000|
455|                    1|                  2|200|               0|      0.0000|
456|                    0|                  0|-nan(ind)|               1|     11.6115|
457|                    0|                  1|inf|               0|      0.0000|
458|                    1|                  2|200|               0|      0.0000|
461|                    0|                  1|inf|               0|      0.0000|
462|                    0|                  1|inf|               0|      0.0000|
463|                    0|                  1|inf|               0|      0.0000|
468|                    0|                  1|inf|               0|      0.0000|
469|                    0|                  1|inf|               0|      0.0000|
471|                    3|                  3|100|               1|     10.9108|
472|                    1|                  2|200|               0|      0.0000|
473|                    0|                  1|inf|               0|      0.0000|
476|                    1|                  2|200|               0|      0.0000|
478|                    0|                  1|inf|               0|      0.0000|
479|                    1|                  2|200|               0|      0.0000|
480|                    0|                  1|inf|               0|      0.0000|
481|                    0|                  1|inf|               0|     10.0000|
482|                    0|                  1|inf|               0|      0.0000|
483|                    0|                  1|inf|               0|     12.5000|
484|                    2|                  3|150|               0|      0.0000|
487|                    2|                  3|150|               0|      0.0000|
488|                    0|                  1|inf|               0|      0.0000|
490|                    0|                  0|-nan(ind)|               1|     11.7684|
491|                    1|                  2|200|               0|     10.0000|
493|                    2|                  3|150|               0|      0.0000|
495|                    1|                  2|200|               0|      0.0000|
497|                    2|                  2|100|               1|     11.7918|
499|                    0|                  1|inf|               0|      0.0000|
501|                    0|                  1|inf|               0|      0.0000|
502|                    2|                  3|150|               0|     11.2037|
503|                    0|                  1|inf|               0|      0.0000|
504|                    0|                  1|inf|               0|      0.0000|
505|                    3|                  3|100|               1|     11.1111|
506|                    2|                  3|150|               0|     10.3704|
507|                    1|                  2|200|               0|     14.2857|
508|                    0|                  1|inf|               0|      0.0000|
510|                    0|                  1|inf|               0|      0.0000|
511|                    1|                  2|200|               0|     11.1111|
512|                    1|                  2|200|               0|     10.0000|
514|                    1|                  2|200|               0|     10.5556|
517|                    0|                  1|inf|               0|     11.1111|
518|                    0|                  1|inf|               0|     11.1111|
519|                    1|                  2|200|               0|     10.0000|
521|                    7|                  0|  0|               1|      0.0000|
522|                    0|                  1|inf|               0|     10.0000|
523|                    0|                  1|inf|               0|      0.0000|
526|                    2|                  2|100|               1|     12.2316|
533|                    1|                  2|200|               0|      0.0000|
537|                    0|                  1|inf|               0|      0.0000|
540|                    0|                  1|inf|               0|      0.0000|
541|                    0|                  1|inf|               0|      0.0000|
543|                    0|                  1|inf|               0|      0.0000|
547|                    0|                  1|inf|               0|      0.0000|
549|                    9|                  1| 12|               1|     12.7353|
551|                    1|                  2|200|               0|      0.0000|
553|                    1|                  2|200|               0|      0.0000|
555|                    1|                  2|200|               0|      0.0000|
557|                    1|                  2|200|               0|      0.0000|
558|                    0|                  1|inf|               0|      0.0000|
559|                    0|                  1|inf|               0|      0.0000|
561|                    0|                  1|inf|               0|      0.0000|
564|                   32|                  1|  4|               1|     12.6783|
570|                   48|                  3|  7|               0|      0.0000|
571|                    2|                  3|150|               0|      0.0000|
572|                    1|                  2|200|               0|      0.0000|
573|                    1|                  2|200|               0|      0.0000|
576|                    0|                  1|inf|               0|      0.0000|
578|                    0|                  1|inf|               0|      0.0000|
580|                    0|                  1|inf|               0|      0.0000|
581|                    1|                  2|200|               0|      0.0000|
583|                   11|                  1| 10|               1|     54.7222|
584|                    1|                  2|200|               0|      0.0000|
585|                    0|                  1|inf|               0|      0.0000|
586|                    0|                  1|inf|               0|      0.0000|
587|                   41|                  1|  3|               0|      0.0000|
589|                    0|                  1|inf|               0|     10.0000|
590|                    9|                  1| 12|               0|      0.0000|
591|                    0|                  1|inf|               0|      0.0000|
593|                    1|                  2|200|               0|      0.0000|
595|                    1|                  2|200|               0|      0.0000|
596|                   77|                  1|  2|               0|      0.0000|
598|                   69|                  2|  3|               0|     10.0000|
---|---------------------|-------------------|---|----------------|------------|
